iter	RMSE	MAE	R2
65	133929.9861	85055.30352	0.8700323699
66	133648.9031	85020.81078	0.8705773316
67	132468.321	84177.08019	0.8728537325
68	132245.8793	84162.71221	0.8732803837
69	131619.5505	83788.23966	0.874477853
70	131388.6775	83761.52752	0.8749178221
71	131157.8546	83733.86001	0.8753569233
72	130838.7867	83660.17204	0.8759626244
73	130615.8822	83631.54197	0.8763848989
74	129178.5476	82556.79174	0.8790905219
75	128551.917	82314.76123	0.8802607132
76	127764.5139	81780.78872	0.8817230692
77	127334.913	81636.11972	0.8825171309
78	127174.0305	81626.81039	0.8828138131
79	127062.0946	81624.00148	0.8830200118
80	126920.5023	81615.45062	0.8832805811
81	126791.9138	81603.09574	0.8835169679
82	125264.6057	80706.29086	0.8863063253
83	125167.8484	80716.01622	0.8864818967
84	125027.4157	80701.35031	0.8867364783
85	124934.4516	80702.2524	0.8869048498
86	124154.5657	80313.72844	0.8883124041
87	123699.1266	80021.98418	0.8891303136
88	123182.4408	79734.01872	0.890054575
89	122871.8116	79619.45076	0.8906083746
90	122673.6275	79577.06078	0.8909609729
91	121719.8984	79183.25629	0.8926498355
92	121357.361	78923.80173	0.8932883587
93	121199.3709	78880.74807	0.8935660247
94	120518.0973	78409.33861	0.8947592135
95	119802.4872	77963.16944	0.8960052965
96	119081.7342	77587.7516	0.8972528336
97	118299.5	77007.01984	0.8985982686
98	118103.623	76937.54757	0.8989337869
99	117647.2369	76699.72011	0.8997133751
100	116997.6526	76247.21957	0.9008177745
101	116889.059	76220.1406	0.9010018049
102	116432.4657	75898.15554	0.9017737099
103	115860.0711	75626.87418	0.9027371181
104	115715.0873	75589.26662	0.9029803895
105	114780.4229	75180.83842	0.9045413708
106	114361.2813	74908.63757	0.905237267
107	114162.9229	74847.40046	0.9055657118
108	113954.7988	74772.70003	0.9059097137
109	113051.5199	74283.68166	0.9073954419
110	112599.9203	73992.43928	0.9081338071
111	112333.0703	73890.43286	0.9085687177
112	111663.8826	73461.28237	0.9096548171
113	111215.0474	73272.96913	0.9103796461
114	110813.7008	72946.04662	0.9110253126
115	110419.994	72684.61243	0.9116564208
116	110144.8832	72482.80227	0.9120960875
117	109789.3345	72339.56222	0.9126626808
118	109167.4613	72006.89342	0.9136492779
119	108482.4736	71576.24605	0.9147295193
120	107812.2689	71081.62097	0.9157798668
121	107641.8177	71032.66225	0.9160459604
122	107226.8247	70852.7385	0.9166920509
123	107142.5031	70829.24591	0.9168230237
124	107072.6807	70815.18322	0.9169313976
125	106429.8758	70453.58064	0.9179257991
126	106353.2064	70430.8744	0.9180440049
127	105998.7881	70171.71025	0.9185893257
128	105815.2059	70103.88254	0.9188710761
129	105442.748	69985.61821	0.9194412009
130	105352.3644	69947.18215	0.9195792488
131	105190.6804	69894.2412	0.9198259024
132	104482.5698	69502.94337	0.9209016829
133	104187.4734	69356.07248	0.9213478562
134	103932.1384	69199.62463	0.9217328936
135	103696.9026	69026.45739	0.9220867858
136	103218.4343	68767.56071	0.9228041263
137	103109.1678	68735.72274	0.9229674782
138	102849.5692	68638.49097	0.9233548804
139	102539.5245	68446.31593	0.9238162843
140	102236.594	68277.38587	0.9242657555
141	101688.0156	67944.90427	0.9250763205
142	101598.204	67911.36273	0.9252086085
143	100929.9703	67517.39253	0.9261892118
144	100542.9411	67257.50341	0.9267542007
145	100466.2979	67233.39909	0.9268658277
146	100140.6534	67077.84865	0.9273391634
147	99573.7494	66748.79979	0.9281595121
148	99404.15354	66628.87666	0.9284040237
149	99021.59439	66473.29907	0.9289540408
150	98556.78615	66244.17733	0.9296194561
151	98518.3938	66231.04338	0.9296742783
152	98472.23876	66218.19439	0.9297401569
153	98246.78235	66149.61798	0.9300615144
154	97872.44117	65889.43418	0.9305934602
155	97638.2573	65770.10802	0.9309252072
156	97271.52724	65522.94374	0.9314431236
157	97093.79582	65404.75704	0.9316934246
158	96934.74197	65323.34048	0.9319170337
159	96778.11869	65253.08948	0.9321368674
160	96656.25925	65211.44583	0.9323076613
161	96264.16482	64948.62843	0.9328557469
162	96109.0041	64855.2601	0.9330720217
163	95766.53164	64624.69641	0.9335481509
164	95527.8735	64430.32406	0.9338789452
165	95300.06016	64279.92355	0.9341939381
166	95089.76997	64137.45376	0.9344840344
167	94876.20765	64020.4963	0.9347779889
168	94621.62823	63864.10989	0.9351275371
169	94344.61103	63701.64419	0.9355068263
170	94096.19466	63544.5168	0.9358460098
171	93932.91586	63477.68756	0.9360684609
172	93680.90577	63337.56613	0.9364110411
173	93570.17433	63261.26113	0.9365612774
174	93133.38049	63064.08791	0.9371521701
175	92881.13848	62923.82868	0.9374921426
176	92729.00834	62844.15624	0.9376967384
177	92474.47805	62688.10372	0.9380382993
178	92249.60074	62545.56073	0.9383392869
179	92100.30129	62455.02218	0.9385387124
180	91989.36051	62394.40514	0.9386866915
181	91691.63432	62230.31292	0.9390829337
182	91472.65523	62116.9769	0.9393735521
183	91350.80173	62051.51351	0.9395349692
184	91314.96405	62042.95856	0.9395824017
185	91093.29555	61920.53858	0.939875375
186	90834.97959	61764.13639	0.9402158859
187	90506.98201	61588.05283	0.9406468573
188	90382.30365	61520.06585	0.9408102692
189	90161.3175	61408.12561	0.941099355
190	89973.31709	61276.76706	0.9413447329
191	89882.65902	61234.21557	0.9414628767
192	89656.47647	61102.05811	0.9417571141
193	89363.0143	60953.29328	0.9421377695
194	89097.17304	60751.14163	0.9424815199
195	88888.1251	60597.37568	0.9427511135
196	88727.4506	60487.60397	0.942957893
197	88633.26073	60428.78318	0.9430789365
198	88561.15262	60404.85308	0.9431715157
199	88479.6122	60349.00522	0.9432761143
200	88395.45612	60299.70926	0.9433839672
201	88242.99848	60210.96431	0.9435790926
202	88079.35149	60116.92385	0.9437881642
203	87946.51529	60054.49536	0.9439575872
204	87742.77645	59930.17298	0.9442169447
205	87483.50079	59771.16352	0.94454613
206	87325.90071	59663.16005	0.9447457485
207	87098.74892	59526.44135	0.945032829
208	86951.33102	59435.44013	0.9452187395
209	86787.12708	59339.37998	0.9454254483
210	86649.73043	59255.11263	0.9455981105
211	86484.25905	59172.12628	0.9458056901
212	86377.55408	59112.43665	0.9459393384
213	86292.50416	59058.5421	0.9460457454
214	86162.75815	59003.92061	0.9462078705
215	85915.12834	58829.37999	0.9465166209
216	85843.95833	58794.58484	0.9466051928
217	85715.2251	58694.41093	0.9467652165
218	85596.36254	58627.45301	0.946912757
219	85413.93085	58535.68382	0.9471388058
220	85120.80184	58378.52092	0.9475010081
221	85019.5598	58328.1957	0.9476258176
222	84948.71165	58292.59645	0.9477130697
223	84774.13782	58198.66965	0.9479277534
224	84600.41049	58091.88777	0.9481409576
225	84498.8316	58034.40864	0.9482654162
226	84256.65277	57904.60784	0.9485615402
227	84202.61966	57876.57168	0.9486274931
228	84079.34671	57797.86089	0.9487778021
229	83946.74595	57737.61374	0.9489392388
230	83787.71341	57652.3857	0.9491325192
231	83602.85604	57540.47653	0.9493567253
232	83357.25299	57424.34354	0.9496538413
233	83299.5985	57393.03621	0.9497234616
234	83164.18138	57320.64143	0.9498867942
235	83096.33289	57282.10361	0.9499685293
236	82926.67489	57192.46008	0.9501726195
237	82811.82156	57144.29999	0.9503105457
238	82710.38773	57096.40007	0.9504321975
239	82552.02429	57007.68306	0.9506218282
240	82378.88325	56899.94564	0.9508287382
241	82208.14688	56807.29622	0.9510323492
242	81990.03808	56699.70975	0.9512918395
243	81805.7462	56537.71099	0.9515105595
244	81608.37303	56415.52001	0.9517442587
245	81536.04366	56369.53886	0.9518297588
246	81479.6854	56319.75077	0.9518963269
247	81355.6022	56267.07895	0.9520427269
248	81241.51808	56217.15286	0.9521771326
249	81196.23009	56198.64933	0.9522304353
250	80997.86664	56094.17571	0.9524635536
251	80826.04502	55993.68243	0.9526650188
252	80575.18077	55857.7477	0.9529583952
253	80426.83959	55754.56205	0.9531314456
254	80313.26121	55673.54819	0.9532637272
255	80188.31433	55600.70791	0.9534090334
256	80057.78402	55514.5394	0.9535605912
257	79953.60911	55432.2935	0.9536813708
258	79802.06487	55346.47116	0.9538567893
259	79671.37691	55267.19827	0.9540077985
260	79539.39094	55190.12679	0.9541600564
261	79384.89028	55114.28001	0.9543379663
262	79278.13888	55069.89914	0.9544606901
263	79199.55033	55014.1774	0.9545509318
264	79015.83299	54907.052	0.9547615415
265	78948.26981	54868.78815	0.9548388715
266	78852.36977	54812.48846	0.9549485211
267	78741.79329	54737.58881	0.955074786
268	78602.29302	54648.23279	0.9552338255
269	78438.44584	54542.43788	0.9554202619
270	78225.48791	54427.65352	0.9556619985
271	78080.82367	54339.66619	0.9558258375
272	77921.65563	54249.15993	0.9560057523
273	77776.89573	54155.81107	0.9561690622
274	77703.38408	54114.91383	0.9562518776
275	77578.19006	54066.33659	0.9563927361
276	77440.58716	53992.38014	0.9565472941
277	77301.56033	53902.91795	0.9567031728
278	77224.44995	53848.90994	0.9567895092
279	77105.89183	53779.38458	0.9569220843
280	76992.34251	53720.35357	0.9570488675
281	76906.42541	53684.38214	0.9571446739
282	76750.33613	53570.67656	0.9573184557
283	76617.69607	53490.63888	0.9574658529
284	76470.40633	53415.33815	0.9576292308
285	76342.99718	53348.19703	0.9577703031
286	76252.58082	53300.63592	0.9578702728
287	76168.66498	53248.33268	0.9579629492
288	76035.82437	53172.69173	0.9581094493
289	75922.11706	53114.26842	0.9582346455
290	75843.51918	53069.62157	0.9583210754
291	75746.69278	52993.19146	0.9584274271
292	75621.00885	52925.80961	0.9585652726
293	75484.84193	52833.25042	0.9587143571
294	75325.01415	52735.71848	0.9588890042
295	75239.35661	52688.11125	0.9589824517
296	75123.3941	52621.1892	0.9591087907
297	75019.10508	52543.40312	0.9592222452
298	74904.05892	52474.70088	0.9593472194
299	74806.4481	52408.49868	0.9594531033
300	74661.02994	52319.54469	0.9596105903
301	74620.10966	52301.57156	0.9596548515
302	74504.79503	52230.91988	0.9597794504
303	74443.94084	52190.66508	0.9598451264
304	74256.6846	52082.76043	0.9600468834
305	74174.17703	52033.91424	0.960135619
306	74080.87282	51984.77217	0.9602358472
307	74041.00249	51964.62477	0.9602786379
308	73989.31964	51932.08531	0.9603340719
309	73894.95241	51882.47884	0.9604351886
310	73803.42421	51833.82462	0.9605331399
311	73686.99677	51756.44961	0.9606575623
312	73577.75542	51684.64457	0.9607741266
313	73462.28202	51631.46295	0.9608971527
314	73407.12619	51597.17064	0.9609558478
315	73289.39785	51531.26585	0.9610809833
316	73185.27873	51461.32693	0.9611914859
317	73093.33488	51411.88821	0.9612889362
318	72914.70644	51295.96961	0.9614779123
319	72844.00234	51269.54115	0.9615525845
320	72707.55481	51190.78188	0.9616964849
321	72595.0976	51107.08831	0.9618148818
322	72526.29386	51081.87921	0.9618872292
323	72373.55966	50969.94221	0.9620475847
324	72249.2632	50908.92332	0.9621778339
325	72159.41069	50855.08437	0.9622718502
326	72079.34475	50810.58598	0.9623555278
327	71988.8578	50761.46374	0.9624499847
328	71879.32742	50694.79672	0.9625641618
329	71771.92555	50635.16291	0.9626759512
330	71666.81255	50568.50402	0.9627851965
331	71605.36391	50542.20912	0.9628489866
332	71573.12793	50532.243	0.9628824291
333	71448.95524	50476.49127	0.9630111084
334	71370.0971	50442.84429	0.9630927125
335	71286.08923	50385.64792	0.9631795466
336	71219.03551	50345.26597	0.9632487827
337	71159.20358	50308.39334	0.963310507
338	71100.79129	50275.35018	0.9633707168
339	71008.80097	50212.44968	0.9634654375
340	70947.06182	50177.94556	0.9635289404
341	70856.57669	50117.62773	0.9636219107
342	70738.58046	50045.6324	0.9637429694
343	70648.49033	49982.22145	0.9638352619
344	70524.14305	49887.9223	0.9639624558
345	70444.98187	49848.79716	0.9640433125
346	70357.49668	49798.85298	0.9641325658
347	70236.9433	49730.07446	0.9642553739
348	70064.16469	49608.26782	0.9644310169
349	69928.38153	49522.47971	0.9645687474
350	69869.76123	49481.31281	0.9646281259
351	69833.95995	49456.18189	0.9646643657
352	69763.38511	49413.35887	0.9647357507
353	69617.25262	49339.53386	0.9648833311
354	69519.6308	49273.94379	0.9649817478
355	69428.69372	49227.27916	0.9650733011
356	69336.8806	49151.56952	0.9651656147
357	69246.84409	49103.25891	0.9652560235
358	69173.18393	49058.26446	0.9653299008
359	69096.29925	49019.10793	0.9654069283
360	68976.47328	48947.74104	0.965526806
361	68925.81605	48919.16231	0.9655774226
362	68813.18189	48842.63243	0.965689833
363	68725.8786	48787.51859	0.9657768364
364	68609.29074	48714.75498	0.9658928515
365	68521.28995	48642.85517	0.9659802896
366	68455.0847	48598.75769	0.9660459975
367	68382.01296	48565.76785	0.9661184466
368	68256.51284	48477.89535	0.9662426967
369	68226.54866	48464.36993	0.9662723287
370	68130.58286	48400.1167	0.966367143
371	68029.24668	48345.14335	0.9664671184
372	67943.82912	48302.67695	0.9665512733
373	67865.0078	48229.67794	0.9666288357
374	67776.35182	48180.15007	0.9667159681
375	67673.74924	48124.09998	0.9668166653
376	67607.81615	48081.42977	0.9668812934
377	67549.85197	48044.22706	0.9669380583
378	67501.98897	48017.04987	0.9669848943
379	67375.55722	47935.98424	0.9671084536
380	67297.8725	47886.34073	0.9671842585
381	67211.35648	47821.5318	0.967268578
382	67137.13286	47774.49092	0.9673408308
383	67047.87994	47725.40585	0.967427608
384	67004.44783	47697.00212	0.9674697937
385	66903.83926	47623.61656	0.9675674099
386	66802.80818	47578.65519	0.9676652885
387	66694.12925	47514.34932	0.9677704111
388	66640.75183	47484.32921	0.9678219792
389	66599.2032	47459.13085	0.9678620908
390	66567.79342	47448.62925	0.9678923977
391	66480.09386	47397.51482	0.9679769421
392	66356.99243	47313.88322	0.9680954268
393	66247.74748	47252.4463	0.9682003907
394	66220.17623	47236.19481	0.9682268541
395	66124.64548	47181.06235	0.9683184613
396	66053.82784	47127.29962	0.9683862851
397	65928.09584	47042.98737	0.9685065226
398	65842.05799	46987.42286	0.9685886685
399	65736.10713	46928.51388	0.9686896793
400	65697.74834	46900.7943	0.9687262095
401	65678.34284	46892.19613	0.9687446818
402	65603.02719	46853.74921	0.9688163238
403	65484.56122	46781.15296	0.9689288451
404	65414.25089	46743.10498	0.9689955311
405	65364.41338	46708.26673	0.9690427562
406	65314.03144	46675.76561	0.9690904605
407	65272.13242	46646.91406	0.9691301048
408	65149.4286	46577.26098	0.9692460592
409	65097.90441	46541.10394	0.9692946842
410	65028.50922	46499.78539	0.9693601138
411	64969.05519	46455.96949	0.9694161148
412	64871.87924	46404.58551	0.9695075367
413	64782.16724	46360.37008	0.969591815
414	64722.78148	46329.02988	0.9696475398
415	64707.96897	46323.20883	0.9696614312
416	64617.09946	46251.25301	0.9697465804
417	64510.48249	46182.96625	0.9698463331
418	64441.88295	46131.91127	0.969910429
419	64336.59422	46067.63257	0.9700086727
420	64240.52657	46018.51678	0.9700981722
421	64185.95803	45990.92831	0.9701489503
422	64103.21077	45934.8282	0.9702258674
423	64018.54788	45880.53765	0.9703044625
424	63967.24802	45852.8803	0.9703520352
425	63860.62579	45774.74515	0.9704507888
426	63786.17506	45723.28846	0.9705196474
427	63756.38639	45713.18066	0.9705471761
428	63678.43069	45672.16135	0.9706191567
429	63646.22804	45645.28247	0.9706488654
430	63594.94387	45606.25158	0.9706961469
431	63532.62155	45564.01343	0.9707535536
432	63450.33231	45516.83444	0.9708292662
433	63444.78837	45514.30901	0.9708343635
434	63362.32798	45459.1455	0.9709101285
435	63259.37315	45391.94492	0.9710045856
436	63202.74177	45353.01249	0.9710564772
437	63170.30164	45338.43263	0.9710861813
438	63093.06889	45287.70518	0.9711568388
439	63054.69001	45264.53296	0.9711919182
440	62925.95061	45179.80343	0.9713094336
441	62858.73978	45133.63602	0.9713706893
442	62770.74536	45080.11259	0.9714507881
443	62699.29673	45045.50487	0.9715157433
444	62591.01576	44967.2502	0.9716140423
445	62499.6611	44910.29706	0.9716968432
446	62422.52475	44873.20492	0.971766663
447	62392.77116	44851.72484	0.9717935713
448	62326.22818	44809.5685	0.9718537045
449	62231.37573	44743.792	0.9719393093
450	62117.32692	44670.67942	0.9720420664
451	62077.38795	44649.63338	0.9720780065
452	62063.93067	44644.50779	0.9720901112
453	61989.22454	44593.81219	0.9721572608
454	61953.26851	44568.44841	0.9721895511
455	61851.60133	44488.72509	0.9722807517
456	61758.733	44418.49998	0.9723639285
457	61738.20106	44411.02697	0.9723823009
458	61638.67916	44337.68557	0.9724712685
459	61587.81102	44306.85158	0.9725166867
460	61581.14761	44303.11494	0.9725226334
461	61574.75412	44299.44781	0.9725283386
462	61531.91145	44277.52938	0.9725665539
463	61469.14746	44235.43432	0.9726224909
464	61446.79528	44219.60056	0.972642398
465	61343.36132	44143.39776	0.9727344231
466	61283.53673	44104.81961	0.9727875782
467	61202.75182	44042.15	0.9728592746
468	61183.22129	44034.89654	0.9728765937
469	61136.16335	44014.20256	0.9729183006
470	61091.7905	43995.0145	0.9729575983
471	61043.37213	43961.8514	0.9730004463
472	60992.90181	43923.81704	0.973045074
473	60953.95161	43905.94893	0.9730794899
474	60947.79435	43902.33771	0.9730849284
475	60891.20769	43864.25346	0.9731348835
476	60839.54158	43833.03047	0.9731804542
477	60747.58703	43772.14979	0.9732614645
478	60706.3486	43738.58905	0.9732977551
479	60639.12754	43697.11095	0.9733568579
480	60606.57418	43675.04768	0.9733854563
481	60563.83629	43649.96388	0.9734229786
482	60515.54828	43630.33315	0.9734653418
483	60481.99894	43604.06752	0.9734947549
484	60391.33396	43539.13929	0.9735741602
485	60331.52898	43496.62239	0.9736264728
486	60265.56994	43450.80251	0.9736841084
487	60208.62799	43414.54349	0.9737338141
488	60149.55001	43375.91904	0.9737853347
489	60063.28867	43332.06575	0.9738604704
490	59996.14546	43290.02609	0.9739188792
491	59957.12339	43270.2302	0.973952795
492	59915.49017	43239.37939	0.9739889559
493	59805.9214	43170.51859	0.9740840028
494	59797.15596	43165.13922	0.974091599
495	59701.0375	43106.44933	0.9741748229
496	59673.5486	43085.20648	0.9741985994
497	59615.98239	43040.86226	0.9742483559
498	59558.61251	43008.57527	0.9742978949
499	59552.8904	43004.71274	0.9743028333
500	59475.41255	42948.99664	0.9743696534
501	59398.96745	42905.49229	0.9744354976
502	59316.03693	42848.17004	0.9745068321
503	59310.59566	42844.64341	0.9745115091
504	59275.31587	42818.87497	0.9745418227
505	59190.48602	42761.29308	0.9746146378
506	59112.33525	42728.12601	0.9746816275
507	59107.4809	42723.98061	0.9746857856
508	59031.25514	42670.25282	0.9747510346
509	58941.24921	42613.57559	0.9748279709
510	58879.95389	42579.38216	0.9748802985
511	58824.31173	42546.77753	0.9749277528
512	58820.80652	42545.61626	0.9749307407
513	58735.11454	42483.93377	0.9750037309
514	58713.81115	42469.94944	0.97502186
515	58649.94608	42446.28468	0.9750761696
516	58571.28705	42395.95535	0.9751429786
517	58535.31473	42377.2931	0.9751735017
518	58485.99863	42340.43534	0.9752153168
519	58468.42856	42333.6325	0.975230206
520	58401.57855	42295.96672	0.9752868148
521	58347.27948	42267.16434	0.9753327478
522	58290.83566	42223.73396	0.9753804497
523	58255.69616	42199.80407	0.9754101236
524	58209.72389	42159.89476	0.9754489183
525	58156.982	42135.05751	0.975493388
526	58074.65091	42073.97552	0.9755627255
527	58031.86204	42036.50864	0.9755987225
528	58027.4096	42032.57681	0.9756024667
529	57952.3897	41978.88132	0.9756655099
530	57881.43627	41927.98848	0.9757250608
531	57757.48987	41867.25437	0.9758289134
532	57711.47591	41827.09709	0.9758674111
533	57655.6861	41789.27769	0.9759140466
534	57650.48803	41784.40984	0.9759183895
535	57574.08478	41733.30168	0.9759821771
536	57508.05222	41678.993	0.9760372383
537	57466.5422	41654.30948	0.976071819
538	57410.72895	41621.28731	0.976118276
539	57359.66137	41588.06904	0.9761607433
540	57292.48111	41540.74532	0.9762165522
541	57189.51325	41491.37169	0.9763019641
542	57170.85117	41482.61008	0.9763174279
543	57155.74292	41474.14255	0.9763299432
544	57120.25887	41453.68849	0.9763593243
545	57069.78823	41423.72344	0.9764010829
546	57009.97814	41391.74096	0.9764505211
547	56935.46594	41357.48979	0.9765120394
548	56845.43307	41318.89303	0.9765862643
549	56805.92635	41299.50248	0.9766187974
550	56794.11042	41288.91789	0.9766285232
551	56735.1011	41255.5469	0.9766770641
552	56666.95822	41222.38642	0.9767330555
553	56657.47597	41215.87451	0.9767408415
554	56653.43058	41212.13947	0.9767441628
555	56573.04941	41173.9888	0.9768101078
556	56525.37654	41143.70897	0.9768491746
557	56469.05109	41102.02688	0.9768952895
558	56427.9829	41074.52986	0.9769288839
559	56406.64255	41058.37909	0.976946331
560	56318.07228	41014.80577	0.9770186724
561	56249.99164	40979.30824	0.9770742012
562	56171.38155	40927.56713	0.9771382346
563	56110.15036	40889.32502	0.9771880497
564	56037.75758	40854.16098	0.9772468752
565	55963.15256	40807.09357	0.9773074189
566	55922.87119	40781.9354	0.9773400747
567	55881.99524	40751.15865	0.9773731884
568	55833.05761	40714.18382	0.9774128011
569	55755.77725	40672.35156	0.9774752852
570	55738.08396	40658.14414	0.9774895787
571	55690.45993	40631.13117	0.9775280292
572	55605.18997	40572.15841	0.9775967921
573	55589.0277	40560.04297	0.9776098137
574	55553.49576	40542.63432	0.9776384277
575	55524.0441	40525.75214	0.9776621313
576	55464.27242	40489.98537	0.9777101989
577	55386.88834	40435.84827	0.9777723533
578	55337.40635	40395.68371	0.9778120513
579	55310.88304	40372.9042	0.9778333157
580	55263.86577	40334.70854	0.9778709855
581	55214.71763	40297.4215	0.9779103282
582	55122.47838	40246.58148	0.9779840706
583	55044.13468	40182.06691	0.9780466071
584	55022.45497	40164.25393	0.9780638969
585	54966.89658	40121.62503	0.978108174
586	54889.34123	40073.29707	0.9781699068
587	54847.74882	40050.6777	0.9782029778
588	54799.65365	40021.63249	0.978241188
589	54748.23611	39982.9335	0.9782820007
590	54695.01388	39952.21699	0.9783242054
591	54678.22249	39939.47879	0.9783375124
592	54593.90428	39888.4578	0.9784042714
593	54546.94202	39859.61789	0.9784414092
594	54488.25728	39825.64915	0.9784877722
595	54475.04688	39820.83933	0.978498202
596	54471.35733	39818.09395	0.9785011145
597	54448.89817	39806.03074	0.9785188393
598	54375.15907	39757.6475	0.978576983
599	54323.69933	39726.97037	0.9786175125
600	54264.11959	39686.99741	0.9786643895
601	54197.02713	39639.27933	0.9787171158
602	54146.16367	39616.74756	0.9787570447
603	54096.11661	39575.02448	0.9787962961
604	54043.68838	39533.0256	0.9788373761
605	54004.42789	39511.71596	0.9788681124
606	53969.34564	39490.81	0.9788955588
607	53921.57339	39461.32248	0.9789329045
608	53852.98172	39425.66151	0.9789864678
609	53791.06437	39385.70196	0.9790347605
610	53753.49839	39366.99987	0.9790640332
611	53694.60262	39323.93429	0.9791098856
612	53648.04746	39293.33479	0.9791460949
613	53590.34442	39255.1727	0.9791909311
614	53521.68446	39208.62387	0.9792442181
615	53485.50352	39188.37837	0.9792722706
616	53431.90555	39162.14161	0.9793137924
617	53388.27449	39130.26161	0.9793475623
618	53320.48688	39081.71287	0.9793999742
619	53245.63265	39039.24748	0.9794577725
620	53159.17788	38994.54789	0.979524427
621	53145.91329	38985.47124	0.9795346441
622	53081.83937	38935.50021	0.9795839614
623	53044.6731	38903.40297	0.9796125407
624	53005.41726	38876.89495	0.9796427051
625	52940.81832	38832.13824	0.9796922947
626	52912.98079	38815.90793	0.9797136456
627	52864.6901	38787.20494	0.9797506572
628	52819.46255	38756.33742	0.9797852903
629	52767.49268	38723.76382	0.9798250499
630	52713.49266	38682.0538	0.9798663211
631	52659.49672	38648.22727	0.979907547
632	52602.40182	38601.70169	0.979951093
633	52553.94489	38566.1867	0.9799880138
634	52528.69391	38546.69064	0.9800072398
635	52461.33024	38508.51715	0.980058485
636	52404.78275	38468.14037	0.9801014513
637	52325.17967	38424.68163	0.9801618574
638	52306.24198	38412.55783	0.9801762145
639	52292.08073	38402.16376	0.9801869471
640	52222.44129	38355.07542	0.9802396837
641	52166.98493	38321.34286	0.9802816294
642	52117.79557	38293.94137	0.9803187976
643	52074.13401	38269.11067	0.9803517595
644	52021.54295	38231.01106	0.980391426
645	51985.9438	38203.64524	0.9804182538
646	51914.40142	38164.48654	0.980472113
647	51887.68008	38145.05881	0.9804922105
648	51813.92498	38090.86834	0.9805476293
649	51729.62488	38040.99623	0.980610875
650	51719.14272	38035.86599	0.980618732
651	51672.64447	38011.11074	0.9806535659
652	51638.04911	37986.28786	0.9806794625
653	51586.53558	37945.90439	0.9807179912
654	51571.5274	37934.02054	0.980729209
655	51530.92096	37905.05203	0.980759544
656	51471.84594	37880.71956	0.9808036332
657	51405.5951	37832.99056	0.9808530178
658	51379.74621	37816.83402	0.9808722687
659	51342.17494	37793.6226	0.9809002327
660	51305.21876	37765.97285	0.9809277189
661	51238.02602	37720.54157	0.9809776428
662	51168.90311	37678.24507	0.9810289326
663	51088.15288	37629.40037	0.9810887623
664	51074.91127	37619.16828	0.9810985643
665	51021.04323	37581.10448	0.9811384134
666	51003.54255	37571.4384	0.9811513506
667	50966.55265	37547.15875	0.9811786803
668	50922.1111	37506.95526	0.9812114895
